release_year,average_rating,rating_count
1902,3.50,5
1903,2.50,2
1908,4.00,1
1915,2.00,1
1916,3.60,5
1917,4.50,1
1919,2.00,1
1920,3.81,8
1921,4.10,5
1922,3.53,16
1923,3.64,7
1924,3.58,6
1925,3.79,19
1926,4.00,13
1927,3.69,29
1928,3.65,13
1929,3.83,9
1930,4.21,17
1931,3.61,76
1932,3.33,24
1933,3.73,65
1934,4.09,34
1935,3.97,46
1936,3.53,53
1937,3.66,115
1938,3.77,56
1939,3.76,201
1940,3.82,223
1941,3.90,197
1942,3.92,185
1943,3.63,20
1944,4.04,92
1945,3.54,42
1946,3.95,138
1947,3.85,52
1948,3.85,80
1949,3.76,72
1950,3.81,161
1951,3.80,182
1952,3.95,96
1953,3.65,153
1954,4.01,272
1955,3.72,182
1956,3.68,115
1957,4.04,215
1958,3.84,165
1959,3.79,243
1960,3.72,251
1961,3.70,225
1962,3.97,262
1963,3.63,287
1964,3.94,376
1965,3.74,234
1966,3.82,190
1967,3.92,381
1968,3.81,434
1969,3.69,218
1970,3.75,244
1971,3.84,533
1972,3.94,366
1973,3.76,482
1974,3.94,466
1975,3.88,637
1976,3.76,423
1977,3.81,567
1978,3.46,490
1979,3.68,786
1980,3.73,944
1981,3.76,792
1982,3.51,1053
1983,3.63,878
1984,3.53,1441
1985,3.43,1237
1986,3.46,1581
1987,3.49,1540
1988,3.42,1551
1989,3.46,1895
1990,3.43,1926
1991,3.55,1722
1992,3.35,2013
1993,3.45,3741
1994,3.50,5296
1995,3.44,6143
1996,3.34,4509
1997,3.35,3643
1998,3.43,3556
1999,3.50,4535
2000,3.40,4268
2001,3.48,3914
2002,3.41,3642
2003,3.46,3145
2004,3.51,3390
2005,3.36,2498
2006,3.50,2584
2007,3.52,2316
2008,3.53,2149
2009,3.57,1856
2010,3.57,1715
2011,3.46,1438
2012,3.51,1385
2013,3.46,1201
2014,3.51,1318
2015,3.41,1088
2016,3.39,785
2017,3.58,461
2018,3.48,91
