release_year,genre,average_rating,rating_count
1902,Action,3.50,5
1902,Adventure,3.50,5
1902,Fantasy,3.50,5
1902,Sci-Fi,3.50,5
1903,Crime,2.50,2
1903,Western,2.50,2
1908,Animation,4.00,1
1908,Comedy,4.00,1
1908,Sci-Fi,4.00,1
1915,Drama,2.00,1
1915,War,2.00,1
1916,Action,3.75,2
1916,Adventure,3.75,2
1916,Comedy,3.50,1
1916,Drama,3.50,1
1916,Fantasy,3.50,1
1916,Romance,3.50,1
1916,Sci-Fi,3.75,2
1917,Comedy,4.50,1
1919,Comedy,2.00,1
1919,Drama,2.00,1
1920,Comedy,3.50,1
1920,Crime,3.86,7
1920,Fantasy,3.86,7
1920,Horror,3.86,7
1921,Comedy,4.10,5
1921,Drama,4.10,5
1922,Horror,3.53,16
1923,Action,4.00,2
1923,Comedy,3.63,4
1923,Drama,3.67,3
1923,Horror,3.00,1
1923,Romance,4.00,2
1924,Action,4.00,2
1924,Adventure,4.00,2
1924,Comedy,3.17,3
1924,Drama,4.25,2
1924,Fantasy,3.50,4
1924,Romance,3.50,3
1924,Sci-Fi,4.50,1
1924,Thriller,4.50,1
1925,Adventure,3.94,8
1925,Comedy,4.06,8
1925,Drama,3.59,11
1925,Romance,3.94,8
1925,War,3.65,10
1926,Adventure,4.00,1
1926,Comedy,4.00,10
1926,Drama,4.00,3
1926,Fantasy,4.00,1
1926,Horror,4.00,1
1926,Romance,4.00,1
1926,War,4.00,9
1927,Comedy,3.50,1
1927,Crime,3.50,3
1927,Drama,3.72,27
1927,Horror,3.00,1
1927,Musical,4.00,1
1927,Mystery,3.00,1
1927,Romance,4.00,2
1927,Sci-Fi,3.86,21
1927,Thriller,3.50,3
1928,Animation,2.33,3
1928,Children,2.33,3
1928,Comedy,3.50,8
1928,Drama,3.90,5
1928,Musical,2.33,3
1928,Romance,4.50,1
1929,Comedy,3.50,1
1929,Documentary,3.33,3
1929,Fantasy,4.50,4
1929,Musical,3.25,2
1930,Action,4.35,10
1930,Comedy,4.13,4
1930,Drama,4.23,13
1930,Musical,4.13,4
1930,Romance,4.00,1
1930,War,4.35,10
1931,Action,4.25,2
1931,Comedy,3.72,16
1931,Crime,3.81,18
1931,Drama,3.65,33
1931,Film-Noir,3.73,15
1931,Horror,3.50,22
1931,Musical,1.00,1
1931,Mystery,3.62,17
1931,Romance,3.80,15
1931,Sci-Fi,3.91,11
1931,Thriller,3.73,15
1931,Western,3.50,1
1932,Comedy,3.00,4
1932,Crime,3.36,14
1932,Drama,3.44,16
1932,Film-Noir,3.67,3
1932,Horror,3.21,12
1932,Romance,3.50,7
1932,War,3.00,1
1933,Action,3.64,25
1933,Adventure,3.65,26
1933,Children,4.00,1
1933,Comedy,3.74,27
1933,Crime,4.00,1
1933,Drama,3.95,10
1933,Fantasy,3.65,26
1933,Horror,3.64,28
1933,Musical,3.79,28
1933,Mystery,4.00,1
1933,Romance,3.85,10
1933,Sci-Fi,3.50,2
1933,Thriller,4.00,1
1933,War,3.80,23
1934,Children,5.00,1
1934,Comedy,4.16,25
1934,Crime,3.86,7
1934,Documentary,4.00,4
1934,Drama,3.92,6
1934,Fantasy,5.00,1
1934,Musical,4.00,3
1934,Romance,4.24,17
1934,Thriller,3.67,3
1934,War,4.50,1
1935,Action,4.00,2
1935,Adventure,4.13,8
1935,Comedy,4.02,21
1935,Drama,3.90,24
1935,Fantasy,3.50,1
1935,Horror,3.17,3
1935,Musical,4.06,18
1935,Mystery,4.05,11
1935,Romance,4.00,22
1935,Sci-Fi,3.17,3
1935,Thriller,4.05,11
1936,Adventure,1.75,2
1936,Comedy,3.64,38
1936,Crime,2.25,4
1936,Drama,3.68,34
1936,Film-Noir,3.38,4
1936,Musical,3.80,5
