genre,release_year,average_rating,yoy_change
(no genres listed),1957,3.00,
(no genres listed),1968,3.00,0.00
(no genres listed),1977,4.00,1.00
(no genres listed),1980,4.50,0.50
(no genres listed),1990,2.50,-2.00
(no genres listed),1992,4.75,2.25
(no genres listed),1995,3.00,-1.75
(no genres listed),1996,4.00,1.00
(no genres listed),2013,4.00,0.00
(no genres listed),2015,3.08,-0.92
(no genres listed),2016,2.81,-0.27
(no genres listed),2017,3.55,0.74
Action,1902,3.50,
Action,1916,3.75,0.25
Action,1923,4.00,0.25
Action,1924,4.00,0.00
Action,1930,4.35,0.35
Action,1931,4.25,-0.10
Action,1933,3.64,-0.61
Action,1935,4.00,0.36
Action,1937,2.50,-1.50
Action,1938,4.00,1.50
Action,1939,3.50,-0.50
Action,1940,1.83,-1.67
Action,1942,3.00,1.17
Action,1944,3.50,0.50
Action,1948,3.67,0.17
Action,1949,2.50,-1.17
Action,1950,3.00,0.50
Action,1951,3.00,0.00
Action,1953,3.30,0.30
Action,1954,4.19,0.89
Action,1955,4.00,-0.19
Action,1957,4.00,0.00
Action,1958,4.19,0.19
Action,1959,4.05,-0.14
Action,1960,3.56,-0.49
Action,1961,3.96,0.40
Action,1962,3.77,-0.19
Action,1963,3.85,0.08
Action,1964,3.86,0.01
Action,1965,3.81,-0.05
Action,1966,4.07,0.26
Action,1967,3.76,-0.31
Action,1968,3.91,0.15
Action,1969,3.81,-0.10
Action,1970,3.48,-0.33
Action,1971,3.60,0.12
Action,1972,3.21,-0.39
Action,1973,3.62,0.41
Action,1974,3.34,-0.28
Action,1975,3.90,0.56
Action,1976,3.70,-0.20
Action,1977,4.10,0.40
Action,1978,3.60,-0.50
Action,1979,3.76,0.16
Action,1980,3.89,0.13
Action,1981,3.95,0.06
Action,1982,3.67,-0.28
Action,1983,3.77,0.10
Action,1984,3.59,-0.18
Action,1985,3.08,-0.51
Action,1986,3.51,0.43
Action,1987,3.61,0.10
Action,1988,3.39,-0.22
Action,1989,3.45,0.06
