release_year,genre,average_rating,rating_count
1937,Musical,3.67,84
1939,Fantasy,3.88,92
1940,Romance,4.20,71
1941,Film-Noir,4.15,52
1942,Romance,4.17,115
1946,Romance,4.08,87
1948,Drama,3.87,70
1950,Drama,4.09,77
1951,Drama,3.95,85
1952,Romance,3.99,62
1953,Drama,3.67,88
1954,Mystery,4.22,109
1955,Drama,3.89,66
1956,Drama,3.79,71
1957,War,4.19,62
1958,Thriller,4.07,79
1959,Mystery,4.17,61
1960,Crime,3.97,107
1961,Drama,3.86,127
1962,War,4.21,88
1963,Action,3.85,96
1964,War,4.23,108
1965,Romance,3.97,98
1966,Western,4.13,74
1967,Romance,4.07,81
1968,Thriller,3.95,77
1969,Western,3.88,84
1970,War,3.99,112
1971,Drama,3.98,218
1972,Crime,4.28,201
1973,Crime,3.94,155
1974,Film-Noir,4.21,59
1975,Fantasy,4.09,145
1976,Crime,3.94,132
1977,Sci-Fi,4.12,313
1978,Drama,3.79,121
1979,War,4.16,113
1980,Adventure,3.92,296
1981,War,4.07,84
1982,Thriller,3.80,338
1982,Sci-Fi,3.80,420
1983,Adventure,3.86,253
1984,Drama,3.70,390
1985,Sci-Fi,3.76,368
1986,War,3.81,83
1987,War,3.98,161
1988,Animation,3.69,215
1989,War,3.99,77
1990,Crime,3.67,381
1991,Horror,4.05,297
1992,Western,3.91,102
1993,War,3.92,296
1994,Documentary,4.19,52
1995,Mystery,3.86,822
1996,Crime,3.58,632
1997,Film-Noir,3.89,118
1998,War,3.88,263
1999,Crime,3.97,598
2000,Mystery,3.77,286
2001,Film-Noir,3.84,51
2002,War,3.73,86
2003,Documentary,3.95,65
2004,IMAX,3.82,183
2005,Film-Noir,3.87,97
2006,Documentary,3.74,74
2007,Western,4.10,63
2008,IMAX,3.91,240
2009,War,4.07,100
2010,Mystery,4.02,250
2011,Mystery,3.66,204
2012,Western,3.94,71
2013,Mystery,3.62,68
2014,Animation,3.76,112
2015,Adventure,3.59,484
2016,Animation,3.67,106
2017,Sci-Fi,3.73,143
2018,Action,3.59,54
