title,num_ratings,average_rating,rating_stddev
Austin Powers: The Spy Who Shagged Me (1999),121,3.20,1.22
"Big Lebowski, The (1998)",106,3.92,1.14
Star Wars: Episode I - The Phantom Menace (1999),140,3.11,1.12
Dumb & Dumber (Dumb and Dumber) (1994),133,3.06,1.12
Four Weddings and a Funeral (1994),103,3.52,1.11
2001: A Space Odyssey (1968),109,3.89,1.10
Ace Ventura: Pet Detective (1994),161,3.04,1.07
E.T. the Extra-Terrestrial (1982),122,3.77,1.07
Twister (1996),123,3.32,1.05
Titanic (1997),140,3.41,1.05
American Pie (1999),103,3.38,1.04
Babe (1995),128,3.65,1.04
Clueless (1995),104,3.29,1.04
"Net, The (1995)",112,3.04,1.04
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",110,3.84,1.03
Interview with the Vampire: The Vampire Chronicles (1994),109,3.46,1.02
"Clockwork Orange, A (1971)",120,4.00,1.01
Aliens (1986),126,3.96,1.01
"Mask, The (1994)",157,3.18,1.00
Independence Day (a.k.a. ID4) (1996),202,3.45,1.00
