rating_year,rating_month,average_rating,num_ratings
1996,3,3.98,58
1996,4,3.74,165
1996,5,3.51,832
1996,6,3.54,883
1996,7,3.70,489
1996,8,3.46,1010
1996,9,3.17,384
1996,10,3.37,935
1996,11,3.73,978
1996,12,3.73,306
1997,1,3.50,250
1997,2,3.77,323
1997,3,3.91,398
1997,4,3.69,219
1997,5,3.72,303
1997,6,4.62,84
1997,7,3.61,70
1997,9,3.36,236
1997,10,4.00,1
1997,11,4.00,4
1997,12,3.79,28
1998,1,3.11,57
1998,2,4.00,1
1998,3,3.95,130
1998,5,3.13,32
1998,6,4.30,43
1998,7,2.89,113
1998,8,3.27,119
1998,10,4.00,1
1998,11,4.00,4
1998,12,3.71,7
1999,1,3.50,4
1999,2,3.47,32
1999,3,3.57,7
1999,5,3.17,36
1999,6,4.33,3
1999,7,3.50,4
1999,8,3.00,3
1999,9,3.00,1
1999,10,3.69,971
1999,11,3.93,660
1999,12,3.79,718
2000,1,3.62,297
2000,2,3.59,303
2000,3,3.81,779
2000,4,2.77,622
2000,5,3.88,157
2000,6,3.49,1180
2000,7,3.77,1081
2000,8,3.06,2319
2000,9,3.51,298
2000,10,3.10,959
2000,11,3.83,1476
2000,12,2.90,590
2001,1,3.36,1107
2001,2,3.49,69
2001,3,2.92,37
2001,4,3.40,160
2001,5,3.66,302
2001,6,3.60,177
2001,7,3.52,577
2001,8,3.72,244
2001,9,3.84,188
2001,10,3.42,306
2001,11,3.58,288
2001,12,3.62,467
2002,1,3.50,66
2002,2,4.09,148
2002,3,2.96,78
2002,4,3.57,635
2002,5,3.78,158
2002,6,3.14,84
2002,7,3.41,165
2002,8,3.51,548
2002,9,3.93,671
2002,10,3.58,363
2002,11,3.12,41
2002,12,3.45,521
2003,1,3.66,501
2003,2,3.28,156
2003,3,3.56,842
2003,4,2.82,45
2003,5,3.39,608
2003,6,3.53,872
2003,7,3.74,275
2003,8,3.07,108
2003,9,3.40,217
2003,10,3.10,120
2003,11,3.60,118
2003,12,3.54,152
2004,1,3.20,139
2004,2,3.62,160
2004,3,3.77,216
2004,4,3.60,111
2004,5,3.43,544
2004,6,3.38,213
2004,7,3.42,220
2004,8,3.96,203
2004,9,3.36,874
2004,10,3.73,127
2004,11,3.64,425
2004,12,3.40,47
2005,1,3.51,1172
2005,2,3.75,445
2005,3,3.09,1041
2005,4,3.52,966
2005,5,3.11,879
2005,6,3.79,414
2005,7,3.80,275
2005,8,3.23,173
2005,9,3.66,239
2005,10,3.78,95
2005,11,3.56,54
2005,12,3.58,60
2006,1,3.58,302
2006,2,3.14,185
2006,3,3.60,106
2006,4,3.73,153
2006,5,3.59,125
2006,6,3.27,32
2006,7,3.00,77
2006,8,3.43,266
2006,9,3.23,1024
2006,10,3.68,937
2006,11,3.63,376
2006,12,3.63,479
2007,1,3.44,531
2007,2,3.43,1670
2007,3,3.37,281
2007,4,3.51,183
2007,5,3.41,1345
2007,6,3.27,661
2007,7,3.20,64
2007,8,2.84,1039
2007,9,3.71,368
2007,10,3.49,105
2007,11,3.15,595
2007,12,3.26,269
2008,1,3.69,907
2008,2,3.49,249
2008,3,3.70,256
2008,4,4.04,241
2008,5,3.37,160
2008,6,3.74,74
2008,7,3.30,354
2008,8,3.39,646
2008,9,3.95,326
2008,10,3.57,179
2008,11,3.65,150
2008,12,3.87,833
2009,1,3.69,480
2009,2,3.37,494
2009,3,3.16,1086
2009,4,3.32,134
2009,5,3.18,284
2009,6,3.38,85
2009,7,3.96,154
2009,8,3.80,115
2009,9,3.47,210
2009,10,3.57,80
2009,11,3.37,637
2009,12,3.45,375
2010,1,3.55,138
2010,2,3.30,257
2010,3,2.89,341
2010,4,3.75,321
2010,5,3.45,87
2010,6,3.35,358
2010,7,3.89,70
2010,8,3.70,58
2010,9,3.63,327
2010,10,3.74,129
2010,11,3.66,90
2010,12,3.66,125
2011,1,3.91,153
2011,2,3.92,107
2011,3,3.69,84
2011,4,3.89,23
2011,5,3.91,248
2011,6,4.12,180
2011,7,3.86,125
2011,8,3.23,90
2011,9,3.63,287
2011,10,3.44,81
2011,11,3.98,177
2011,12,3.48,135
2012,1,3.79,511
2012,2,3.33,231
2012,3,3.31,623
2012,4,3.06,438
2012,5,3.66,148
2012,6,3.69,203
2012,7,3.82,394
2012,8,3.90,133
2012,9,3.86,897
2012,10,3.72,230
2012,11,3.82,576
2012,12,3.73,272
2013,1,3.79,150
2013,2,3.74,44
2013,3,3.49,57
2013,4,3.93,196
2013,5,3.98,263
2013,6,3.93,48
2013,7,2.86,18
2013,8,3.98,380
2013,9,4.15,265
2013,10,3.96,105
2013,11,2.61,57
2013,12,3.57,81
2014,1,3.84,57
2014,2,3.26,358
2014,3,2.73,13
2014,4,2.64,7
2014,5,3.72,37
2014,6,3.59,84
2014,7,3.74,78
2014,8,4.01,89
2014,9,3.54,82
2014,10,3.68,116
2014,11,3.60,330
2014,12,3.29,188
2015,1,3.18,375
2015,2,3.83,216
2015,3,3.90,89
2015,4,3.60,207
2015,5,3.77,682
2015,6,3.44,751
2015,7,3.38,882
2015,8,3.59,424
2015,9,3.57,476
2015,10,3.67,230
2015,11,3.50,1839
2015,12,3.35,445
2016,1,2.67,344
2016,2,3.61,576
2016,3,3.60,834
2016,4,4.02,1755
2016,5,3.73,297
2016,6,2.75,103
2016,7,3.72,966
2016,8,3.80,64
2016,9,3.85,354
2016,10,3.47,602
2016,11,3.77,604
2016,12,3.44,204
2017,1,3.87,193
2017,2,2.79,569
2017,3,3.11,400
2017,4,3.63,923
2017,5,3.48,2397
2017,6,2.99,1953
2017,7,3.90,127
2017,8,4.08,221
2017,9,3.69,446
2017,10,3.50,203
2017,11,3.65,230
2017,12,3.26,541
2018,1,3.42,945
2018,2,2.74,1169
2018,3,3.79,973
2018,4,3.75,228
2018,5,2.95,951
2018,6,3.98,419
2018,7,4.01,293
2018,8,3.56,831
2018,9,3.57,604
