genre,rating_count,average_rating,popularity_rank,rating_rank
Drama,41923,3.66,1,4
Comedy,39049,3.38,2,18
Action,30623,3.45,3,16
Thriller,26446,3.49,4,13
Adventure,24157,3.51,5,11
Romance,18124,3.51,6,11
Sci-Fi,17233,3.46,7,15
Crime,16679,3.66,8,4
Fantasy,11831,3.49,9,13
Children,9207,3.41,10,17
Mystery,7674,3.63,11,6
Horror,7287,3.26,12,19
Animation,6982,3.63,13,6
War,4858,3.81,14,2
IMAX,4145,3.62,15,8
Musical,4138,3.56,16,10
Western,1930,3.58,17,9
Documentary,1219,3.80,18,3
Film-Noir,870,3.92,19,1
