release_year,rating_count,average_rating,rating_stddev
1902,5,3.50,0.61
1903,2,2.50,2.12
1908,1,4.00,
1915,1,2.00,
1916,5,3.60,0.22
1917,1,4.50,
1919,1,2.00,
1920,8,3.81,0.80
1921,5,4.10,0.74
1922,16,3.53,0.78
1923,7,3.64,0.80
1924,6,3.58,0.86
1925,19,3.79,0.96
1926,13,4.00,0.91
1927,29,3.69,0.84
1928,13,3.65,1.13
1929,9,3.83,1.06
1930,17,4.21,0.56
1931,76,3.61,1.14
1932,24,3.33,0.86
1933,65,3.73,0.96
1934,34,4.09,0.73
1935,46,3.97,0.64
1936,53,3.53,1.05
1937,115,3.66,0.83
1938,56,3.77,0.99
1939,201,3.76,0.97
1940,223,3.82,0.99
1941,197,3.90,0.89
1942,185,3.92,0.99
1943,20,3.63,1.13
1944,92,4.04,0.79
1945,42,3.54,1.01
1946,138,3.95,0.87
1947,52,3.85,0.70
1948,80,3.85,0.85
1949,72,3.76,0.99
1950,161,3.81,0.93
1951,182,3.80,0.92
1952,96,3.95,0.94
1953,153,3.65,0.89
1954,272,4.01,0.87
1955,182,3.72,0.92
1956,115,3.68,0.91
1957,215,4.04,0.96
1958,165,3.84,0.89
1959,243,3.79,0.94
1960,251,3.72,0.95
1961,225,3.70,0.96
1962,262,3.97,0.92
1963,287,3.63,0.88
1964,376,3.94,0.86
1965,234,3.74,0.99
1966,190,3.82,0.92
1967,381,3.92,0.88
1968,434,3.81,0.97
1969,218,3.69,0.94
1970,244,3.75,1.03
1971,533,3.84,0.91
1972,366,3.94,1.04
1973,482,3.76,0.87
1974,466,3.94,0.95
1975,637,3.88,0.99
1976,423,3.76,0.90
1977,567,3.81,1.04
1978,490,3.46,1.08
1979,786,3.68,1.05
1980,944,3.73,1.04
1981,792,3.76,0.97
1982,1053,3.51,1.08
1983,878,3.63,1.04
1984,1441,3.53,0.99
1985,1237,3.43,1.03
1986,1581,3.46,1.05
1987,1540,3.49,1.08
1988,1551,3.42,1.05
1989,1895,3.46,1.06
1990,1926,3.43,1.03
1991,1722,3.55,1.04
1992,2013,3.35,1.06
1993,3741,3.45,1.04
1994,5296,3.50,1.07
1995,6143,3.44,1.06
1996,4509,3.34,1.07
1997,3643,3.35,1.09
1998,3556,3.43,1.06
1999,4535,3.50,1.10
2000,4268,3.40,1.07
2001,3914,3.48,1.05
2002,3642,3.41,1.02
2003,3145,3.46,1.02
2004,3390,3.51,0.98
2005,2498,3.36,0.96
2006,2584,3.50,1.00
2007,2316,3.52,0.98
2008,2149,3.53,0.99
2009,1856,3.57,1.01
2010,1715,3.57,1.02
2011,1438,3.46,1.02
2012,1385,3.51,1.03
2013,1201,3.46,1.04
2014,1318,3.51,1.06
2015,1088,3.41,1.12
2016,785,3.39,1.09
2017,461,3.58,1.08
2018,91,3.48,1.12
