genre,rating_count,average_rating,rating_stddev,polarization_rank
Horror,7291,3.26,1.14,1
Comedy,39053,3.38,1.07,2
Sci-Fi,17243,3.46,1.07,2
Children,9208,3.41,1.06,4
Action,30635,3.45,1.05,5
Fantasy,11834,3.49,1.04,6
Adventure,24161,3.51,1.03,7
Thriller,26452,3.49,1.03,7
Romance,18124,3.51,1.02,9
Mystery,7674,3.63,1.01,10
Western,1930,3.58,1.01,10
Crime,16681,3.66,0.99,12
IMAX,4145,3.62,0.99,12
Musical,4138,3.56,0.99,12
Drama,41928,3.66,0.98,15
War,4859,3.81,0.98,15
Animation,6988,3.63,0.97,17
Film-Noir,870,3.92,0.89,18
Documentary,1219,3.80,0.82,19
