movie_id,title,release_year,rating_count,average_rating,rating_stddev,volume_vs_variability,volume_vs_average,average_vs_variability
356,Forrest Gump (1994),1994,329,4.16,0.83,-0.058,0.303,-0.423
318,"Shawshank Redemption, The (1994)",1994,317,4.43,0.71,-0.058,0.303,-0.423
296,Pulp Fiction (1994),1994,307,4.20,0.95,-0.058,0.303,-0.423
593,"Silence of the Lambs, The (1991)",1991,279,4.16,0.85,-0.058,0.303,-0.423
2571,"Matrix, The (1999)",1999,278,4.19,0.98,-0.058,0.303,-0.423
260,Star Wars: Episode IV - A New Hope (1977),1977,251,4.23,0.87,-0.058,0.303,-0.423
480,Jurassic Park (1993),1993,238,3.75,0.86,-0.058,0.303,-0.423
110,Braveheart (1995),1995,237,4.03,0.97,-0.058,0.303,-0.423
589,Terminator 2: Judgment Day (1991),1991,224,3.97,0.93,-0.058,0.303,-0.423
527,Schindler's List (1993),1993,220,4.23,0.98,-0.058,0.303,-0.423
2959,Fight Club (1999),1999,218,4.27,0.86,-0.058,0.303,-0.423
1,Toy Story (1995),1995,215,3.92,0.83,-0.058,0.303,-0.423
1196,Star Wars: Episode V - The Empire Strikes Back (1980),1980,211,4.22,0.84,-0.058,0.303,-0.423
2858,American Beauty (1999),1999,204,4.06,0.97,-0.058,0.303,-0.423
50,"Usual Suspects, The (1995)",1995,204,4.24,0.80,-0.058,0.303,-0.423
47,Seven (a.k.a. Se7en) (1995),1995,203,3.98,0.92,-0.058,0.303,-0.423
780,Independence Day (a.k.a. ID4) (1996),1996,202,3.45,1.00,-0.058,0.303,-0.423
150,Apollo 13 (1995),1995,201,3.85,0.88,-0.058,0.303,-0.423
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1981,200,4.21,0.79,-0.058,0.303,-0.423
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",2001,198,4.11,0.94,-0.058,0.303,-0.423
1210,Star Wars: Episode VI - Return of the Jedi (1983),1983,196,4.14,0.87,-0.058,0.303,-0.423
858,"Godfather, The (1972)",1972,192,4.29,0.90,-0.058,0.303,-0.423
457,"Fugitive, The (1993)",1993,190,3.99,0.79,-0.058,0.303,-0.423
592,Batman (1989),1989,189,3.43,0.77,-0.058,0.303,-0.423
5952,"Lord of the Rings: The Two Towers, The (2002)",2002,188,4.02,0.89,-0.058,0.303,-0.423
2028,Saving Private Ryan (1998),1998,188,4.15,0.81,-0.058,0.303,-0.423
7153,"Lord of the Rings: The Return of the King, The (2003)",2003,185,4.12,0.85,-0.058,0.303,-0.423
588,Aladdin (1992),1992,183,3.79,0.88,-0.058,0.303,-0.423
608,Fargo (1996),1996,181,4.12,0.83,-0.058,0.303,-0.423
2762,"Sixth Sense, The (1999)",1999,179,3.89,0.96,-0.058,0.303,-0.423
380,True Lies (1994),1994,178,3.50,0.91,-0.058,0.303,-0.423
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995,177,3.98,0.79,-0.058,0.303,-0.423
364,"Lion King, The (1994)",1994,172,3.94,0.84,-0.058,0.303,-0.423
1270,Back to the Future (1985),1985,171,4.04,0.87,-0.058,0.303,-0.423
377,Speed (1994),1994,171,3.53,0.93,-0.058,0.303,-0.423
3578,Gladiator (2000),2000,170,3.94,0.99,-0.058,0.303,-0.423
4306,Shrek (2001),2001,170,3.87,0.92,-0.058,0.303,-0.423
