release_year,event_name,event_type,genre,rating_count,average_rating,rating_stddev
1929,Great Depression,Economic,Fantasy,4,4.50,0.58
1929,Great Depression,Economic,Documentary,3,3.33,1.53
1929,Great Depression,Economic,Musical,2,3.25,0.35
1929,Great Depression,Economic,Comedy,1,3.50,
1930,Great Depression,Economic,Drama,13,4.23,0.63
1930,Great Depression,Economic,Action,10,4.35,0.67
1930,Great Depression,Economic,War,10,4.35,0.67
1930,Great Depression,Economic,Comedy,4,4.13,0.25
1930,Great Depression,Economic,Musical,4,4.13,0.25
1930,Great Depression,Economic,Romance,1,4.00,
1931,Great Depression,Economic,Drama,33,3.65,1.18
1931,Great Depression,Economic,Horror,22,3.50,1.04
1931,Great Depression,Economic,Crime,18,3.81,1.06
1931,Great Depression,Economic,Mystery,17,3.62,1.17
1931,Great Depression,Economic,Comedy,16,3.72,1.24
1931,Great Depression,Economic,Film-Noir,15,3.73,1.15
1931,Great Depression,Economic,Romance,15,3.80,1.00
1931,Great Depression,Economic,Thriller,15,3.73,1.15
1931,Great Depression,Economic,Sci-Fi,11,3.91,0.94
1931,Great Depression,Economic,Action,2,4.25,0.35
1931,Great Depression,Economic,Musical,1,1.00,
1931,Great Depression,Economic,Western,1,3.50,
1932,Great Depression,Economic,Drama,16,3.44,0.54
1932,Great Depression,Economic,Crime,14,3.36,0.53
1932,Great Depression,Economic,Horror,12,3.21,0.62
1932,Great Depression,Economic,Romance,7,3.50,0.76
1932,Great Depression,Economic,Comedy,4,3.00,1.73
1932,Great Depression,Economic,Film-Noir,3,3.67,0.76
1932,Great Depression,Economic,War,1,3.00,
1933,Great Depression,Economic,Horror,28,3.64,0.95
1933,Great Depression,Economic,Musical,28,3.79,1.08
1933,Great Depression,Economic,Comedy,27,3.74,1.08
1933,Great Depression,Economic,Adventure,26,3.65,0.98
1933,Great Depression,Economic,Fantasy,26,3.65,0.98
1933,Great Depression,Economic,Action,25,3.64,0.99
1933,Great Depression,Economic,War,23,3.80,1.15
1933,Great Depression,Economic,Drama,10,3.95,0.60
1933,Great Depression,Economic,Romance,10,3.85,0.67
1933,Great Depression,Economic,Sci-Fi,2,3.50,0.71
1933,Great Depression,Economic,Children,1,4.00,
1933,Great Depression,Economic,Crime,1,4.00,
1933,Great Depression,Economic,Mystery,1,4.00,
1933,Great Depression,Economic,Thriller,1,4.00,
1934,Great Depression,Economic,Comedy,25,4.16,0.77
1934,Great Depression,Economic,Romance,17,4.24,0.73
1934,Great Depression,Economic,Crime,7,3.86,0.85
1934,Great Depression,Economic,Drama,6,3.92,0.58
1934,Great Depression,Economic,Documentary,4,4.00,0.71
1934,Great Depression,Economic,Musical,3,4.00,1.00
1934,Great Depression,Economic,Thriller,3,3.67,0.58
1934,Great Depression,Economic,Children,1,5.00,
1934,Great Depression,Economic,Fantasy,1,5.00,
1934,Great Depression,Economic,War,1,4.50,
1935,Great Depression,Economic,Drama,24,3.90,0.68
1935,Great Depression,Economic,Romance,22,4.00,0.60
1935,Great Depression,Economic,Comedy,21,4.02,0.62
1935,Great Depression,Economic,Musical,18,4.06,0.64
1935,Great Depression,Economic,Mystery,11,4.05,0.82
1935,Great Depression,Economic,Thriller,11,4.05,0.82
1935,Great Depression,Economic,Adventure,8,4.13,0.35
1935,Great Depression,Economic,Horror,3,3.17,0.29
1935,Great Depression,Economic,Sci-Fi,3,3.17,0.29
1935,Great Depression,Economic,Action,2,4.00,0.00
1935,Great Depression,Economic,Fantasy,1,3.50,
1936,Great Depression,Economic,Romance,41,3.65,0.94
1936,Great Depression,Economic,Comedy,38,3.64,0.97
1936,Great Depression,Economic,Drama,34,3.68,0.93
1936,Great Depression,Economic,Musical,5,3.80,0.27
1936,Great Depression,Economic,Crime,4,2.25,2.02
1936,Great Depression,Economic,Film-Noir,4,3.38,1.93
1936,Great Depression,Economic,Thriller,4,2.50,1.35
1936,Great Depression,Economic,Mystery,3,2.83,2.02
1936,Great Depression,Economic,Adventure,2,1.75,1.77
1936,Great Depression,Economic,Western,1,3.50,
1937,Great Depression,Economic,Drama,105,3.59,0.81
1937,Great Depression,Economic,Musical,84,3.67,0.80
1937,Great Depression,Economic,Children,81,3.56,0.83
1937,Great Depression,Economic,Animation,77,3.62,0.79
1937,Great Depression,Economic,Fantasy,77,3.62,0.79
1937,Great Depression,Economic,Comedy,9,4.39,0.65
1937,Great Depression,Economic,Romance,9,4.06,0.98
1937,Great Depression,Economic,War,7,3.71,1.11
1937,Great Depression,Economic,Crime,3,3.67,1.04
1937,Great Depression,Economic,Adventure,2,3.25,1.06
1937,Great Depression,Economic,Action,1,2.50,
1937,Great Depression,Economic,Film-Noir,1,4.50,
1937,Great Depression,Economic,Thriller,1,2.50,
1938,Great Depression,Economic,Romance,32,3.81,1.13
1938,Great Depression,Economic,Comedy,30,3.72,1.09
1938,Great Depression,Economic,Drama,24,3.60,1.03
1938,Great Depression,Economic,Action,10,4.00,0.97
1938,Great Depression,Economic,Adventure,8,4.00,0.96
1938,Great Depression,Economic,Thriller,8,3.88,0.69
1938,Great Depression,Economic,Mystery,6,3.92,0.80
1938,Great Depression,Economic,Children,5,3.50,0.87
1938,Great Depression,Economic,Fantasy,5,3.50,0.87
1938,Great Depression,Economic,Animation,2,4.00,0.00
1938,Great Depression,Economic,Crime,2,3.75,0.35
1938,Great Depression,Economic,Film-Noir,2,3.75,0.35
1938,Great Depression,Economic,War,2,4.00,1.41
1938,Great Depression,Economic,Musical,1,3.50,
1939,Great Depression,Economic,Adventure,100,3.82,1.05
1939,Great Depression,Economic,Children,98,3.85,1.05
1939,Great Depression,Economic,Musical,93,3.87,1.02
1939,Great Depression,Economic,Fantasy,92,3.88,1.03
1939,Great Depression,Economic,Drama,90,3.67,0.92
1939,Great Depression,Economic,Romance,64,3.63,0.95
1939,Great Depression,Economic,War,48,3.61,1.04
1939,Great Depression,Economic,Comedy,21,3.67,0.68
1939,Great Depression,Economic,Western,5,3.60,0.42
1939,Great Depression,Economic,Animation,4,3.25,1.71
1939,Great Depression,Economic,Action,3,3.50,0.50
1939,Great Depression,Economic,Crime,1,3.50,
1939,Great Depression,Economic,Mystery,1,3.50,
1939,World War II,Historical,Adventure,100,3.82,1.05
1939,World War II,Historical,Children,98,3.85,1.05
1939,World War II,Historical,Musical,93,3.87,1.02
1939,World War II,Historical,Fantasy,92,3.88,1.03
1939,World War II,Historical,Drama,90,3.67,0.92
1939,World War II,Historical,Romance,64,3.63,0.95
1939,World War II,Historical,War,48,3.61,1.04
1939,World War II,Historical,Comedy,21,3.67,0.68
1939,World War II,Historical,Western,5,3.60,0.42
1939,World War II,Historical,Animation,4,3.25,1.71
1939,World War II,Historical,Action,3,3.50,0.50
1939,World War II,Historical,Crime,1,3.50,
1939,World War II,Historical,Mystery,1,3.50,
1940,World War II,Historical,Fantasy,114,3.60,1.05
1940,World War II,Historical,Musical,114,3.60,1.05
1940,World War II,Historical,Animation,113,3.61,1.05
1940,World War II,Historical,Children,113,3.61,1.05
1940,World War II,Historical,Drama,85,4.13,0.76
1940,World War II,Historical,Comedy,71,4.15,0.83
1940,World War II,Historical,Romance,71,4.20,0.81
1940,World War II,Historical,Thriller,20,4.08,0.78
1940,World War II,Historical,Mystery,19,4.13,0.76
1940,World War II,Historical,War,15,4.13,0.61
1940,World War II,Historical,Adventure,4,3.38,0.48
1940,World War II,Historical,Action,3,1.83,1.26
1940,World War II,Historical,Sci-Fi,3,1.67,1.04
1940,World War II,Historical,Film-Noir,2,3.75,0.35
1940,World War II,Historical,Western,2,3.00,0.00
1940,World War II,Historical,Horror,1,2.50,
1941,World War II,Historical,Drama,125,3.83,0.94
1941,World War II,Historical,Mystery,119,4.08,0.84
1941,World War II,Historical,Film-Noir,52,4.15,0.63
1941,World War II,Historical,Musical,36,3.39,0.88
1941,World War II,Historical,Animation,35,3.39,0.89
1941,World War II,Historical,Children,35,3.39,0.89
1941,World War II,Historical,Comedy,28,3.75,0.88
1941,World War II,Historical,Romance,22,3.75,0.99
1941,World War II,Historical,Thriller,8,4.06,0.68
1941,World War II,Historical,Adventure,7,4.00,0.76
1941,World War II,Historical,Horror,7,3.64,0.99
1941,World War II,Historical,Fantasy,6,3.58,1.07
1941,World War II,Historical,Crime,4,4.00,0.58
1941,World War II,Historical,War,3,3.83,0.76
1942,World War II,Historical,Drama,161,3.94,1.01
1942,World War II,Historical,Romance,115,4.17,0.90
1942,World War II,Historical,Animation,38,3.37,0.96
1942,World War II,Historical,Children,38,3.37,0.96
1942,World War II,Historical,Comedy,23,3.70,1.12
1942,World War II,Historical,Musical,10,3.70,1.06
1942,World War II,Historical,War,8,3.19,1.41
1942,World War II,Historical,Thriller,7,3.79,0.70
1942,World War II,Historical,Mystery,5,3.70,0.84
1942,World War II,Historical,Action,2,3.00,1.41
1942,World War II,Historical,Crime,2,3.25,0.35
1942,World War II,Historical,Film-Noir,1,3.50,
1942,World War II,Historical,Horror,1,4.00,
1943,World War II,Historical,Drama,18,3.81,0.99
1943,World War II,Historical,Crime,9,4.17,0.61
1943,World War II,Historical,Thriller,9,4.17,0.61
1943,World War II,Historical,Horror,3,1.67,1.61
1943,World War II,Historical,Adventure,2,3.75,0.35
1943,World War II,Historical,Romance,2,3.75,0.35
1943,World War II,Historical,War,2,3.75,0.35
1943,World War II,Historical,Fantasy,1,3.00,
1943,World War II,Historical,Western,1,4.50,
1944,World War II,Historical,Drama,45,4.11,0.77
1944,World War II,Historical,Thriller,40,3.89,0.90
1944,World War II,Historical,Mystery,35,3.96,0.88
1944,World War II,Historical,Comedy,33,3.83,0.88
1944,World War II,Historical,Crime,23,4.33,0.65
1944,World War II,Historical,Film-Noir,23,4.33,0.65
1944,World War II,Historical,War,14,3.93,0.81
1944,World War II,Historical,Musical,12,3.96,0.72
1944,World War II,Historical,Romance,8,3.94,0.86
1944,World War II,Historical,Adventure,5,3.60,0.74
1944,World War II,Historical,Action,2,3.50,0.71
1944,World War II,Historical,Children,2,3.75,0.35
1945,World War II,Historical,Mystery,18,3.58,1.03
1945,World War II,Historical,Thriller,12,3.92,0.70
1945,World War II,Historical,Musical,11,3.45,1.11
1945,World War II,Historical,Drama,10,3.60,1.13
1945,World War II,Historical,Romance,9,3.83,0.79
1945,World War II,Historical,Crime,7,3.57,0.67
1945,World War II,Historical,Animation,6,3.67,1.03
1945,World War II,Historical,Children,6,3.67,1.03
1945,World War II,Historical,Comedy,6,3.25,1.13
1945,World War II,Historical,Horror,6,2.83,1.83
1945,World War II,Historical,Film-Noir,3,3.67,0.29
1945,World War II,Historical,War,3,3.67,0.58
1945,World War II,Historical,Fantasy,2,2.00,2.12
1977,Star Wars release,Franchise,Adventure,367,3.98,0.97
1977,Star Wars release,Franchise,Sci-Fi,313,4.12,0.91
1977,Star Wars release,Franchise,Action,293,4.10,0.94
1977,Star Wars release,Franchise,Drama,134,3.53,0.94
1977,Star Wars release,Franchise,Comedy,129,3.55,1.09
1977,Star Wars release,Franchise,Romance,85,3.76,1.03
1977,Star Wars release,Franchise,Children,43,2.92,0.93
1977,Star Wars release,Franchise,Animation,32,3.05,0.98
1977,Star Wars release,Franchise,Horror,28,3.25,1.29
